Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z,Mag_x,Mag_y,Mag_z,Temp,Pres,Alti,Lat,Lng
-0.5684,-0.0294,9.662799999999999,0.1786,-0.1938,-0.3116,113.0,1330.0,-163.0,30.66,1009.3616796875,32.42333637003789,0.0,0.0
-0.5684,-0.0294,9.6726,-0.3914,-0.266,-0.2622,117.0,1333.0,-168.0,30.66,1009.3471875,32.54437065608056,0.0,0.0
-0.5781999999999999,-0.0196,9.662799999999999,-0.0038,0.5966,-0.1178,113.0,1337.0,-166.0,30.67,1009.365546875,32.39103904906288,0.0,0.0
-0.5684,-0.0294,9.6726,0.1254,0.5054,-0.5396,112.0,1335.0,-163.0,30.67,1009.345234375,32.56068266206486,0.0,0.0
-0.5781999999999999,-0.0294,9.6726,-0.342,0.2926,-0.2926,115.0,1334.0,-158.0,30.66,1009.3375,32.62527845676624,0.0,0.0
-0.5781999999999999,-0.0294,9.6726,-0.342,0.2926,-0.2926,115.0,1334.0,-158.0,30.67,1009.3694140625,32.35874182828219,0.0,0.0
-0.5684,-0.0294,9.662799999999999,0.076,-0.3876,-0.0722,113.0,1333.0,-158.0,30.67,1009.3694140625,32.35874182828219,0.0,0.0
-0.5781999999999999,-0.0196,9.662799999999999,-0.152,-0.2926,0.3762,111.0,1338.0,-157.0,30.67,1009.365546875,32.39103904906288,0.0,0.0
-0.5781999999999999,-0.0294,9.6726,0.6308,0.5928,-1.2616,111.0,1332.0,-160.0,30.65,1009.3358984375,32.638654403737405,0.0,0.0
-0.5781999999999999,-0.0196,9.6726,-0.1862,0.437,-0.3002,109.0,1332.0,-156.0,30.68,1009.380703125,32.264460615505044,0.0,0.0
-0.5781999999999999,-0.0196,9.6726,-0.4408,-0.114,-0.1558,109.0,1334.0,-164.0,30.67,1009.3497265625,32.52316508650995,0.0,0.0
-0.5684,-0.0294,9.6726,-0.5168,-0.4104,-0.1976,114.0,1341.0,-159.0,30.67,1009.345859375,32.5554628173672,0.0,0.0
-0.5684,-0.0196,9.662799999999999,-0.5738,-0.0722,-0.4218,109.0,1335.0,-164.0,30.67,1009.355859375,32.47194565815578,0.0,0.0
-0.5781999999999999,-0.0294,9.6726,-0.2128,-0.0342,-0.3078,112.0,1336.0,-162.0,30.68,1009.3542578125,32.48532140812932,0.0,0.0
-0.5684,-0.0196,9.6726,-0.6916,-0.209,-0.9044,113.0,1337.0,-157.0,30.68,1009.3745703125,32.31567902309581,0.0,0.0
-0.5781999999999999,-0.0294,9.6726,0.2204,-0.1862,0.5016,112.0,1331.0,-156.0,30.68,1009.3745703125,32.31567902309581,0.0,0.0
-0.5684,-0.0294,9.6726,-0.247,0.0608,-0.5472,113.0,1334.0,-158.0,30.68,1009.351328125,32.283708267785386,0.0,0.0
-0.5684,-0.0294,9.6824,-0.817,-0.4446,0.19,111.0,1332.0,-167.0,30.68,1009.3783984375,32.283708267785386,0.0,0.0
-0.5781999999999999,-0.0294,9.6726,0.3078,0.5358,-0.9576,113.0,1329.0,-165.0,30.68,1009.34453125,32.566554990475574,0.0,0.0
-0.5781999999999999,-0.0196,9.6726,0.38,0.5814,-0.1406,113.0,1329.0,-165.0,30.69,1009.3755078125,32.30784944128674,0.0,0.0
-0.5781999999999999,-0.0196,9.6726,0.38,0.5814,-0.1406,113.0,1333.0,-152.0,30.69,1009.3590625,32.44519420976759,0.0,0.0
-0.5781999999999999,-0.0196,9.662799999999999,-0.1216,0.0722,-0.285,110.0,1336.0,-160.0,30.69,1009.3590625,32.44519420976759,0.0,0.0
-0.5781999999999999,-0.0294,9.6726,-0.2242,0.0266,0.3686,110.0,1334.0,-161.0,30.68,1009.3377734375,32.62299476021715,0.0,0.0
-0.5781999999999999,-0.0196,9.662799999999999,0.8208,0.1596,-0.1748,114.0,1338.0,-157.0,30.69,1009.3290234375,32.696073298147546,0.0,0.0
-0.5684,-0.0196,9.653,-0.2128,-0.2318,0.0646,114.0,1334.0,-170.0,30.69,1009.331953125,32.67160498055853,0.0,0.0
-0.5684,-0.0294,9.662799999999999,-0.5472,0.589,0.3838,112.0,1337.0,-157.0,30.69,1009.3348828125,32.6471367204737,0.0,0.0
-0.5684,-0.0196,9.662799999999999,-0.532,-0.6118,0.8816,114.0,1338.0,-157.0,30.69,1009.331953125,32.67160498055853,0.0,0.0
-0.5684,-0.0196,9.6726,-0.133,-0.2128,0.2584,117.0,1330.0,-154.0,30.69,1009.341640625,32.59069681985644,0.0,0.0
-0.5684,-0.0196,9.662799999999999,-0.1558,0.1216,-0.2774,112.0,1333.0,-157.0,30.69,1009.29421875,32.986761310882315,0.0,0.0
-0.5781999999999999,-0.0196,9.662799999999999,0.304,0.3762,-0.2888,114.0,1335.0,-155.0,30.69,1009.362890625,32.41322305673624,0.0,0.0
-0.5781999999999999,-0.0196,9.662799999999999,0.304,0.3762,-0.2888,114.0,1335.0,-155.0,30.69,1009.3251953125,32.728045319800295,0.0,0.0
-0.5684,-0.0196,9.662799999999999,0.418,0.5244,-0.2394,118.0,1334.0,-156.0,30.69,1009.3251953125,32.728045319800295,0.0,0.0
-0.5684,-0.0196,9.662799999999999,0.2508,0.3002,-0.3838,111.0,1333.0,-162.0,30.69,1009.346171875,32.55285289600023,0.0,0.0
-0.5684,-0.0294,9.653,-0.0342,-0.2356,0.6384,114.0,1336.0,-155.0,30.69,1009.339375,32.609618833365566,0.0,0.0
-0.5684,-0.0196,9.6726,-0.4484,-0.1216,0.418,114.0,1335.0,-154.0,30.7,1009.398359375,32.11700520569392,0.0,0.0
-0.5781999999999999,-0.0196,9.662799999999999,-0.8626,-0.7182,0.4522,113.0,1333.0,-155.0,30.7,1009.3548046875,32.48075407694019,0.0,0.0
-0.5684,-0.0196,9.653,-0.0228,0.1368,-0.342,111.0,1333.0,-171.0,30.7,1009.360625,32.43214474769233,0.0,0.0
-0.5684,-0.0294,9.6726,-0.1862,0.1482,0.418,113.0,1332.0,-156.0,30.67,1009.281328125,33.094425597577406,0.0,0.0
-0.5781999999999999,-0.0294,9.662799999999999,-0.7486,0.095,-0.1178,111.0,1332.0,-168.0,30.71,1009.359296875,32.44323678941317,0.0,0.0
-0.5781999999999999,-0.0294,9.6726,0.0532,0.3496,0.0152,115.0,1335.0,-163.0,30.71,1009.3796484375,32.27326885874023,0.0,0.0
-0.5781999999999999,-0.0196,9.662799999999999,-1.3528,-0.1482,0.4142,114.0,1335.0,-166.0,30.71,1009.393203125,32.16006718912748,0.0,0.0
